AAPL (Apple Inc.),321.54,0.95
Feb 11 2020 @ 08:28 ET,Bid,322.45,Ask,322.6,Size,1x1,Vol,27337215
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,AAPL200214C00200000,120.92,1.195,121.2,121.85,1,0.02,1,0.0001,90,200.000,AAPL200214P00200000,0.01,0.005,0,0.01,16,1.376,-0.0004,0,361
02/14/2020,AAPL200214C00205000,113.3,-1.425,116.2,116.85,2,0.02,1,0.0001,2,205.000,AAPL200214P00205000,0.01,0,0,0.01,0,1.251,-0.0002,0,233
02/14/2020,AAPL200214C00210000,105.05,0,111.2,111.85,0,0.02,1,0.0002,0,210.000,AAPL200214P00210000,0.01,0,0,0.01,0,1.251,-0.0005,0,532
02/14/2020,AAPL200214C00215000,109.53,0,106.2,106.85,0,0.02,1,0.0001,0,215.000,AAPL200214P00215000,0.01,0,0,0.01,0,1.126,-0.0003,0,1101
02/14/2020,AAPL200214C00220000,104.45,0,101.2,101.85,0,0.02,1,0.0002,1,220.000,AAPL200214P00220000,0.01,0,0,0.01,0,1.126,-0.0005,0.0001,1275
02/14/2020,AAPL200214C00225000,101.9,0,96.2,96.85,0,0.02,1,0.0002,0,225.000,AAPL200214P00225000,0.01,0.005,0,0.01,1,1.0635,-0.0006,0.0001,556
02/14/2020,AAPL200214C00230000,90.15,0,91.2,91.85,0,0.02,1,0.0002,5,230.000,AAPL200214P00230000,0.01,0,0,0.01,26,0.9914,-0.0005,0.0001,1117
02/14/2020,AAPL200214C00235000,89.58,0,86.2,86.85,0,0.02,1,0.0003,0,235.000,AAPL200214P00235000,0.02,0,0,0.01,0,0.8925,-0.0003,0,1140
02/14/2020,AAPL200214C00240000,83.95,0,81.2,81.85,0,0.02,1,0.0005,0,240.000,AAPL200214P00240000,0.01,-0.015,0,0.01,157,0.8366,-0.0004,0,1769
02/14/2020,AAPL200214C00245000,79.6,0,76.2,76.85,0,0.02,1,0.0003,2,245.000,AAPL200214P00245000,0.01,-0.025,0,0.01,9,0.7799,-0.0004,0.0001,589
02/14/2020,AAPL200214C00250000,74.5,0,71.2,71.85,0,0.02,1,0.0005,0,250.000,AAPL200214P00250000,0.01,-0.035,0,0.01,706,0.755,-0.0007,0.0001,1703
02/14/2020,AAPL200214C00255000,66.4,0,66.2,66.85,0,0.02,1,0.0007,3,255.000,AAPL200214P00255000,0.02,-0.045,0.01,0.02,385,0.7122,-0.0009,0.0001,1449
02/14/2020,AAPL200214C00257500,62.35,0,63.7,64.35,0,0.02,1,0.0004,24,257.500,AAPL200214P00257500,0.01,-0.065,0,0.02,37,0.746,-0.002,0.0003,424
