AMGN (Amgen, Inc.),227.42,-0.42
Feb 11 2020 @ 08:33 ET,Bid,225,Ask,228,Size,3x1,Vol,2144696
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,AMGN200214C00180000,0,0,45,49.4,0,0.02,1,0.0032,0,180.000,AMGN200214P00180000,0.01,0,0,0.33,0,1.0613,-0.0174,0.0017,10
02/14/2020,AMGN200214C00185000,0,0,40,44.4,0,0.02,1,0.0037,0,185.000,AMGN200214P00185000,0,0,0,0.33,0,0.952,-0.0193,0.0021,0
02/14/2020,AMGN200214C00190000,0,0,35.2,39.5,0,0.02,1,0.0046,0,190.000,AMGN200214P00190000,0.4,0,0,0.34,0,0.847,-0.0221,0.0026,5
02/14/2020,AMGN200214C00192500,0,0,32.55,37,0,0.02,1,0.0051,0,192.500,AMGN200214P00192500,0.09,0,0,0.34,0,0.7928,-0.0234,0.0029,5
02/14/2020,AMGN200214C00195000,27.07,0,29.9,34.3,0,0.02,1,0.0054,1,195.000,AMGN200214P00195000,0.09,0,0,0.36,0,0.7461,-0.0261,0.0034,31
02/14/2020,AMGN200214C00197500,0,0,27.4,31.75,0,0.02,1,0.0059,0,197.500,AMGN200214P00197500,0.17,0,0,0.35,0,0.6887,-0.0273,0.0038,745
02/14/2020,AMGN200214C00200000,31.5,0,25,29.45,0,0.02,1,0.0066,2,200.000,AMGN200214P00200000,0.03,-0.035,0,0.08,41,0.5067,-0.0093,0.0021,215
02/14/2020,AMGN200214C00202500,9.9,0,22.5,27,0,0.02,1,0,1,202.500,AMGN200214P00202500,0.33,0,0,0.4,0,0.5954,-0.035,0.0054,15
02/14/2020,AMGN200214C00205000,26.44,0,19.9,24.45,0,0.02,1,0.009,32,205.000,AMGN200214P00205000,0.1,-0.045,0.01,0.08,16,0.54,-0.0379,0.0064,119
02/14/2020,AMGN200214C00207500,7.65,0,17.5,21.95,0,0.02,1,0,47,207.500,AMGN200214P00207500,0.31,0,0,0.12,0,0.396,-0.0174,0.0045,6
02/14/2020,AMGN200214C00210000,22,0,15.5,19,0,0.5778,0.8928,0.0129,249,210.000,AMGN200214P00210000,0.12,-0.055,0.1,0.12,28,0.3818,-0.0294,0.0073,83
02/14/2020,AMGN200214C00212500,16.4,0,12.5,17,0,0.02,1,0,33,212.500,AMGN200214P00212500,0.16,-0.07,0.14,0.17,60,0.3565,-0.044,0.0109,72
02/14/2020,AMGN200214C00215000,12.17,-2.405,12.15,12.75,20,0.4052,0.8863,0.0193,52,215.000,AMGN200214P00215000,0.25,-0.07,0.23,0.26,35,0.3354,-0.0696,0.0167,237
02/14/2020,AMGN200214C00217500,14.17,0,7.75,12,0,0.02,1,0.0258,89,217.500,AMGN200214P00217500,0.49,0.01,0.4,0.44,45,0.3197,-0.1139,0.0252,309
02/14/2020,AMGN200214C00220000,7.05,-2.8,7.35,7.75,4,0.2973,0.8188,0.0364,137,220.000,AMGN200214P00220000,0.74,0.005,0.7,0.76,139,0.3065,-0.1835,0.0362,552
