GILD (Gilead Sciences, Inc.),68.995,-0.14
Feb 11 2020 @ 08:33 ET,Bid,68.7,Ask,68.98,Size,20x4,Vol,24347753
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,GILD200214C00055000,11.9,0,12.85,16.4,0,1.3433,0.9513,0.0102,4,55.000,GILD200214P00055000,0.01,0,0,0.02,0,0.8455,-0.0049,0.0023,33
02/14/2020,GILD200214C00056000,0,0,10.75,15.4,0,1.2872,0.9445,0.0118,0,56.000,GILD200214P00056000,0,0,0,0.03,0,0.8217,-0.0071,0.0033,0
02/14/2020,GILD200214C00056500,0,0,10.25,14.8,0,1.4187,0.9194,0.0144,0,56.500,GILD200214P00056500,0,0,0,0.03,0,0.8008,-0.0081,0.0038,0
02/14/2020,GILD200214C00057000,0,0,9.75,14.3,0,1.1698,0.9447,0.0129,0,57.000,GILD200214P00057000,0,0,0,0.03,0,0.7693,-0.0084,0.0041,0
02/14/2020,GILD200214C00057500,11.21,0,9.25,14,0,1.2006,0.932,0.0149,15,57.500,GILD200214P00057500,0.02,0,0,0.03,0,0.7386,-0.0088,0.0044,66
02/14/2020,GILD200214C00058000,11.3,0,8.75,13.4,0,1.3875,0.8944,0.018,14,58.000,GILD200214P00058000,0.01,0,0,0.03,0,0.7074,-0.0091,0.0048,292
02/14/2020,GILD200214C00058500,10.77,0,8.25,13,0,1.0148,0.9431,0.0153,41,58.500,GILD200214P00058500,0.01,0,0,0.03,0,0.6738,-0.0093,0.0051,27
02/14/2020,GILD200214C00059000,10.25,0,9.05,10.95,0,0.8402,0.9633,0.0128,30,59.000,GILD200214P00059000,0.01,0,0,0.03,0,0.6456,-0.01,0.0057,290
02/14/2020,GILD200214C00059500,9.43,0,7.75,12,0,0.02,1,0.0213,47,59.500,GILD200214P00059500,0.02,0,0,0.03,0,0.6123,-0.0102,0.0061,135
02/14/2020,GILD200214C00060000,9.05,-0.225,8.15,11.4,8,0.8638,0.9413,0.0184,81,60.000,GILD200214P00060000,0.02,0,0,0.03,2,0.5841,-0.0109,0.0068,287
02/14/2020,GILD200214C00060500,8.5,0,6.15,10.8,0,0.9084,0.9202,0.0223,36,60.500,GILD200214P00060500,0.05,0,0,0.03,0,0.5531,-0.0115,0.0075,30
02/14/2020,GILD200214C00061000,7.75,0,6,10.4,0,0.7672,0.9388,0.0214,2,61.000,GILD200214P00061000,0.02,0,0,0.02,0,0.5105,-0.0106,0.0076,62
02/14/2020,GILD200214C00061500,7.5,0,5.1,8,0,0.6465,0.9555,0.0196,44,61.500,GILD200214P00061500,0.05,0.03,0,0.03,20,0.4937,-0.013,0.0094,145
02/14/2020,GILD200214C00062000,6.73,-0.345,4.55,8.65,2,0.7491,0.9159,0.0281,62,62.000,GILD200214P00062000,0.05,0.025,0,0.03,20,0.4635,-0.0139,0.0105,386
02/14/2020,GILD200214C00062500,6.66,0,4.85,8.85,0,0.6713,0.9219,0.0296,23,62.500,GILD200214P00062500,0.02,-0.01,0,0.03,45,0.423,-0.0131,0.011,945
02/14/2020,GILD200214C00063000,6.03,-0.32,4,7.1,12,0.6588,0.9078,0.0343,123,63.000,GILD200214P00063000,0.02,-0.01,0,0.03,85,0.3925,-0.0138,0.0124,1211
02/14/2020,GILD200214C00063500,5.61,-0.74,5.05,7,302,0.6148,0.9025,0.0383,186,63.500,GILD200214P00063500,0.02,-0.02,0.01,0.03,4,0.3844,-0.02,0.0174,146
02/14/2020,GILD200214C00064000,5.2,0,4.45,5.5,56,0.5719,0.8959,0.0432,681,64.000,GILD200214P00064000,0.02,-0.045,0.01,0.05,59,0.3513,-0.0211,0.0199,632
02/14/2020,GILD200214C00064500,3.54,-1.21,3.6,5.55,106,0.5459,0.8812,0.0498,318,64.500,GILD200214P00064500,0.03,-0.065,0,0.07,141,0.326,-0.0252,0.0249,542
02/14/2020,GILD200214C00065000,4,-0.3,3.8,4.35,345,0.4797,0.8821,0.0564,740,65.000,GILD200214P00065000,0.04,-0.105,0.04,0.09,227,0.3314,-0.0444,0.039,603
02/14/2020,GILD200214C00065500,3.66,-0.215,3.3,3.9,58,0.4707,0.8536,0.0668,523,65.500,GILD200214P00065500,0.08,-0.14,0.04,0.13,141,0.3307,-0.0691,0.0554,641
02/14/2020,GILD200214C00066000,3.2,-0.3,2.78,3.45,101,0.4387,0.8313,0.0787,794,66.000,GILD200214P00066000,0.14,-0.175,0.1,0.15,732,0.3304,-0.1023,0.0744,1359
02/14/2020,GILD200214C00066500,2.98,-0.12,2.47,2.99,130,0.4399,0.787,0.0908,643,66.500,GILD200214P00066500,0.16,-0.285,0.14,0.32,207,0.3367,-0.1514,0.096,580
02/14/2020,GILD200214C00067000,2.56,-0.215,2.17,2.67,364,0.423,0.7443,0.1045,994,67.000,GILD200214P00067000,0.34,-0.265,0.26,0.45,2415,0.3442,-0.2119,0.116,1147
02/14/2020,GILD200214C00067500,2.09,-0.38,1.82,2.24,955,0.4364,0.6836,0.1122,1001,67.500,GILD200214P00067500,0.46,-0.345,0.11,0.52,1033,0.3516,-0.28,0.132,1379
02/14/2020,GILD200214C00068000,1.83,-0.375,1.53,1.9,1468,0.4347,0.6248,0.1201,1642,68.000,GILD200214P00068000,0.68,-0.355,0.66,0.8,1051,0.3659,-0.3544,0.1401,1401
02/14/2020,GILD200214C00068500,1.47,-0.5,1.37,1.66,1356,0.4433,0.5619,0.1224,1063,68.500,GILD200214P00068500,0.96,-0.34,0.8,1.12,270,0.3772,-0.429,0.1434,565
02/14/2020,GILD200214C00069000,1.27,-0.49,1.17,1.35,2290,0.4622,0.5013,0.1189,2002,69.000,GILD200214P00069000,1.15,-0.455,1.09,1.56,470,0.3881,-0.5019,0.1416,1386
02/14/2020,GILD200214C00069500,1.05,-0.53,1.05,1.24,1016,0.4809,0.4436,0.1132,800,69.500,GILD200214P00069500,1.52,-0.395,1.33,1.79,43,0.4043,-0.5679,0.1339,149
02/14/2020,GILD200214C00070000,0.92,-0.505,0.92,0.95,6835,0.4995,0.3936,0.1061,4940,70.000,GILD200214P00070000,1.8,-0.46,1.69,2.1,188,0.4249,-0.6258,0.1228,226
02/14/2020,GILD200214C00070500,0.83,-0.465,0.73,0.95,663,0.5229,0.3507,0.0977,834,70.500,GILD200214P00070500,3.15,0.52,2.11,2.95,26,0.4386,-0.679,0.1123,76
02/14/2020,GILD200214C00071000,0.75,-0.44,0.63,0.82,1408,0.5461,0.3128,0.0894,1032,71.000,GILD200214P00071000,2.62,-0.405,2.44,3.05,15,0.4549,-0.7238,0.1011,37
02/14/2020,GILD200214C00071500,0.66,-0.425,0.52,0.75,282,0.5698,0.2797,0.0814,429,71.500,GILD200214P00071500,4.15,0.725,2.85,3.55,25,0.4849,-0.7549,0.0891,19
02/14/2020,GILD200214C00072000,0.57,-0.435,0.49,0.6,736,0.5934,0.2519,0.0741,1324,72.000,GILD200214P00072000,4.65,0.825,3.2,3.85,27,0.4918,-0.7922,0.08,46
02/14/2020,GILD200214C00072500,0.55,-0.37,0.2,0.64,202,0.6116,0.2253,0.0676,387,72.500,GILD200214P00072500,4.15,-0.1,3.75,4.35,5,0.5099,-0.8194,0.0708,9
02/14/2020,GILD200214C00073000,0.54,-0.315,0.38,0.5,462,0.6376,0.2054,0.0615,910,73.000,GILD200214P00073000,6.05,0,4.2,5.15,0,0.522,-0.8454,0.0625,1
02/14/2020,GILD200214C00073500,0.34,-0.455,0.34,0.53,98,0.6557,0.1846,0.056,153,73.500,GILD200214P00073500,5.55,0,4.65,5.75,0,0.5526,-0.8581,0.0557,16
02/14/2020,GILD200214C00074000,0.47,-0.275,0.33,0.52,361,0.6887,0.1717,0.051,405,74.000,GILD200214P00074000,5.65,0,5.1,5.7,0,0.5704,-0.8752,0.0494,16
02/14/2020,GILD200214C00074500,0.41,-0.285,0.27,0.44,51,0.7081,0.1568,0.0467,247,74.500,GILD200214P00074500,7.6,0,5.55,6.15,0,0.5719,-0.896,0.0432,2
02/14/2020,GILD200214C00075000,0.33,-0.325,0.29,0.4,815,0.7329,0.1452,0.0429,2628,75.000,GILD200214P00075000,6.7,0,6.05,6.65,0,0.5914,-0.9067,0.0385,18
02/14/2020,GILD200214C00076000,0.32,-0.26,0.03,0.35,22,0.7771,0.1241,0.0363,107,76.000,GILD200214P00076000,7.6,0,6.75,7.6,0,0.6468,-0.9182,0.0319,25
02/14/2020,GILD200214C00077000,0.29,-0.225,0.13,0.3,91,0.8195,0.1068,0.031,252,77.000,GILD200214P00077000,7.9,0,7.9,8.55,0,0.572,-0.9638,0.0186,15
02/14/2020,GILD200214C00078000,0.33,-0.13,0.1,0.26,55,0.8533,0.0908,0.0264,325,78.000,GILD200214P00078000,8.8,0,8,11.05,0,0.7254,-0.9424,0.0216,5
02/14/2020,GILD200214C00079000,0.24,-0.17,0.13,0.27,426,0.8868,0.0782,0.0227,784,79.000,GILD200214P00079000,13.15,0,7.9,12,0,0.7835,-0.9459,0.019,24
02/14/2020,GILD200214C00080000,0.17,-0.195,0.15,0.19,815,0.9123,0.0659,0.0194,4718,80.000,GILD200214P00080000,11.6,0,10.65,12.9,0,0.6648,-0.9808,0.0092,4
02/14/2020,GILD200214C00081000,0.11,0.11,0.09,0.21,13,0.9413,0.0568,0.0167,13,81.000,GILD200214P00081000,0,0,11.1,14,0,0.8948,-0.9514,0.0152,0
02/14/2020,GILD200214C00082000,0.15,0.15,0.05,0.16,364,0.9734,0.0497,0.0145,311,82.000,GILD200214P00082000,0,0,11.25,15.5,0,0.8135,-0.9755,0.0093,0
02/14/2020,GILD200214C00083000,0.11,0.11,0,0.23,3,1.0081,0.0444,0.0128,2,83.000,GILD200214P00083000,0,0,12.9,15.85,0,0.8135,-0.9822,0.007,0
02/14/2020,GILD200214C00084000,0.09,0.09,0.04,0.15,6,1.0336,0.0386,0.0112,5,84.000,GILD200214P00084000,0,0,13.75,16.95,0,0.8447,-0.9843,0.006,0
02/21/2020,GILD200221C00037500,0,0,29.1,33.9,0,0.02,1,0.0035,0,37.500,GILD200221P00037500,0.05,0,0,0.02,0,1.251,-0.0018,0.0004,10
