GOOG (Google  Inc.),1508.69006,7.2499
Feb 11 2020 @ 08:31 ET,Bid,1515,Ask,1515.98,Size,2x1,Vol,1419876
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,GOOG200214C00950000,521.6,0,554.3,564,0,0.02,0.9987,0,2,950.000,GOOG200214P00950000,0.05,0,0,0.1,0,1.4229,-0.0008,0,1
02/14/2020,GOOG200214C00960000,511.6,0,543.5,553,0,0.02,1,0,1,960.000,GOOG200214P00960000,0.2,0,0,0.05,0,1.3135,-0.0004,0,1
02/14/2020,GOOG200214C00970000,461.2,0,533,541.1,0,0.02,1,0,1,970.000,GOOG200214P00970000,0,0,0,0.5,0,1.5872,-0.0031,0,0
02/14/2020,GOOG200214C00980000,0,0,523.5,533,0,0.02,1,0,0,980.000,GOOG200214P00980000,0,0,0,0.5,0,1.5526,-0.0032,0,0
02/14/2020,GOOG200214C00990000,0,0,513,521.1,0,0.02,1,0,0,990.000,GOOG200214P00990000,0,0,0,0.5,0,1.5177,-0.0032,0,0
02/14/2020,GOOG200214C01000000,479.46,0,502.5,510.9,0,0.02,1,0,1,1000.000,GOOG200214P01000000,0.05,0,0,0.05,0,1.2117,-0.0005,0,4
02/14/2020,GOOG200214C01005000,0,0,497.5,505.9,0,0.02,1,0.0001,0,1005.000,GOOG200214P01005000,0,0,0,0.5,0,1.4697,-0.0034,0,0
02/14/2020,GOOG200214C01010000,0,0,492.5,500.9,0,0.02,1,0.0001,0,1010.000,GOOG200214P01010000,0,0,0,0.5,0,1.4535,-0.0034,0,0
02/14/2020,GOOG200214C01015000,0,0,487.5,495.9,0,0.02,1,0,0,1015.000,GOOG200214P01015000,0,0,0,0.55,0,1.4518,-0.0037,0,0
02/14/2020,GOOG200214C01020000,0,0,483.5,492.7,0,0.02,1,0,0,1020.000,GOOG200214P01020000,0,0,0,0.55,0,1.4344,-0.0038,0,0
02/14/2020,GOOG200214C01025000,0,0,478.5,487.8,0,0.02,1,0,0,1025.000,GOOG200214P01025000,0,0,0,0.45,0,1.387,-0.0032,0,0
02/14/2020,GOOG200214C01030000,0,0,473.5,483,0,0.02,1,0.0001,0,1030.000,GOOG200214P01030000,0,0,0,0.55,0,1.4018,-0.0038,0.0001,0
02/14/2020,GOOG200214C01035000,0,0,468.5,478,0,0.02,1,0,0,1035.000,GOOG200214P01035000,0,0,0,0.55,0,1.386,-0.0039,0.0001,0
