INTC (Intel Corporation),66.4,0.17
Feb 11 2020 @ 08:32 ET,Bid,66.55,Ask,66.64,Size,11x2,Vol,22299288
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,INTC200214C00050000,14.67,0,16.25,16.6,0,0.02,0.9922,0.0027,0,50.000,INTC200214P00050000,0.13,0,0,0.02,0,1.0635,-0.0047,0.0019,1
02/14/2020,INTC200214C00052500,14.65,0,13.75,14.05,0,0.02,1,0.0033,12,52.500,INTC200214P00052500,0.01,0,0,0.03,0,0.9228,-0.0068,0.0029,802
02/14/2020,INTC200214C00053000,12.74,0,13.25,13.6,0,0.02,0.991,0.0038,0,53.000,INTC200214P00053000,0.04,0,0,0.03,0,0.8898,-0.007,0.0031,20
02/14/2020,INTC200214C00053500,12.2,0,12.75,13.05,0,0.02,1,0.0023,0,53.500,INTC200214P00053500,0.01,0,0,0.03,0,0.8564,-0.0073,0.0034,22
02/14/2020,INTC200214C00054000,15,0,12.25,12.6,0,0.02,0.9907,0.0042,0,54.000,INTC200214P00054000,0.02,0,0,0.03,0,0.8232,-0.0075,0.0036,18
02/14/2020,INTC200214C00054500,12.1,0,11.75,12.1,0,0.02,0.9867,0.0056,0,54.500,INTC200214P00054500,0.03,0,0,0.03,0,0.7896,-0.0077,0.0039,15
02/14/2020,INTC200214C00055000,12.07,0,11.25,11.6,0,0.02,0.9863,0.0061,3,55.000,INTC200214P00055000,0.02,0.015,0,0.03,30,0.7574,-0.0081,0.0042,159
02/14/2020,INTC200214C00055500,11.75,0,10.75,11.05,0,0.02,1,0,0,55.500,INTC200214P00055500,0.04,0,0,0.03,0,0.7202,-0.0081,0.0044,308
02/14/2020,INTC200214C00056000,10.8,0,10.25,10.6,0,0.02,0.9884,0.006,0,56.000,INTC200214P00056000,0.03,0.025,0,0.01,30,0.7026,-0.0096,0.0052,183
02/14/2020,INTC200214C00056500,10.27,0,9.75,10,0,0.02,1,0.0027,0,56.500,INTC200214P00056500,0.01,0.005,0,0.01,1,0.5522,-0.0025,0.002,112
02/14/2020,INTC200214C00057000,9.55,0,9.25,9.5,0,0.02,1,0,41,57.000,INTC200214P00057000,0.02,0,0,0.01,0,0.5216,-0.0025,0.0021,546
02/14/2020,INTC200214C00057500,9.55,0,8.75,9,0,0.02,1,0,0,57.500,INTC200214P00057500,0.04,0,0,0.02,0,0.5593,-0.0066,0.0047,514
02/14/2020,INTC200214C00058000,9.4,0,8.2,8.5,0,0.02,1,0,2,58.000,INTC200214P00058000,0.03,0.01,0,0.02,1,0.5286,-0.0069,0.0052,331
02/14/2020,INTC200214C00058500,6.12,0,7.75,8.05,0,0.02,1,0,0,58.500,INTC200214P00058500,0.01,-0.015,0,0.02,5,0.4978,-0.0072,0.0058,143
02/14/2020,INTC200214C00059000,8.35,0,7.25,7.5,0,0.02,1,0,0,59.000,INTC200214P00059000,0.02,-0.005,0,0.02,1,0.4715,-0.008,0.0067,392
02/14/2020,INTC200214C00059500,7.75,0,6.75,7,0,0.02,1,0.0184,11,59.500,INTC200214P00059500,0.05,0,0,0.02,0,0.4369,-0.0079,0.0071,183
02/14/2020,INTC200214C00060000,6.78,0,6.35,6.5,0,0.02,0.9847,0.0123,11,60.000,INTC200214P00060000,0.02,-0.005,0,0.03,95,0.4735,-0.0195,0.0144,780
02/14/2020,INTC200214C00060500,5.84,0,5.75,6.05,0,0.02,1,0.012,0,60.500,INTC200214P00060500,0.03,-0.005,0,0.03,101,0.4277,-0.0182,0.015,375
02/14/2020,INTC200214C00061000,4.75,-0.6,5.3,5.5,4,0.02,1,0.0191,4,61.000,INTC200214P00061000,0.03,-0.015,0.01,0.03,147,0.4047,-0.0219,0.0185,213
02/14/2020,INTC200214C00061500,5.1,0,4.8,5,0,0.02,1,0.0093,4,61.500,INTC200214P00061500,0.04,-0.015,0.03,0.04,13,0.3934,-0.0306,0.0252,105
02/14/2020,INTC200214C00062000,4.25,-0.125,4.25,4.5,4,0.02,1,0.0411,8,62.000,INTC200214P00062000,0.04,-0.025,0.03,0.04,404,0.3609,-0.0337,0.0297,684
02/14/2020,INTC200214C00062500,3.98,0,3.85,4.05,0,0.02,0.9543,0.0398,4,62.500,INTC200214P00062500,0.05,-0.035,0.04,0.05,194,0.3443,-0.045,0.0394,310
02/14/2020,INTC200214C00063000,2.83,-0.57,3.4,3.55,55,0.02,0.9373,0.0534,61,63.000,INTC200214P00063000,0.09,-0.025,0.06,0.07,334,0.3376,-0.0666,0.0548,800
02/14/2020,INTC200214C00063500,2.81,-0.135,2.96,3.05,2,0.02,0.9079,0.0729,142,63.500,INTC200214P00063500,0.1,-0.055,0.08,0.1,120,0.3295,-0.0951,0.0736,523
02/14/2020,INTC200214C00064000,2.18,-0.325,2.52,2.55,69,0.02,0.879,0.0947,97,64.000,INTC200214P00064000,0.16,-0.055,0.13,0.14,1126,0.3189,-0.1317,0.096,1566
02/14/2020,INTC200214C00064500,1.87,-0.21,2.08,2.14,117,0.1816,0.9377,0.0968,409,64.500,INTC200214P00064500,0.22,-0.065,0.19,0.2,425,0.3116,-0.1825,0.1217,973
