MSFT (Microsoft Corporation),188.74,2.5498
Feb 11 2020 @ 08:31 ET,Bid,191.23,Ask,191.25,Size,18x19,Vol,35844267
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,MSFT200214C00115000,72,2.95,73.5,73.95,7,0.02,1,0.0002,13,115.000,MSFT200214P00115000,0,0,0,0.04,0,1.6885,-0.002,0.0002,0
02/14/2020,MSFT200214C00120000,53.5,0,68.5,69,0,0.02,0.9988,0.0001,14,120.000,MSFT200214P00120000,0,0,0,0.04,0,1.5364,-0.002,0.0002,0
02/14/2020,MSFT200214C00125000,0,0,63.5,64,0,0.02,0.9987,0.0002,0,125.000,MSFT200214P00125000,0.07,0,0,0.04,0,1.4312,-0.0024,0.0003,3
02/14/2020,MSFT200214C00126000,56.79,0,62.15,62.95,0,0.02,1,0.0004,1,126.000,MSFT200214P00126000,0.05,0,0,0.04,0,1.4002,-0.0024,0.0003,5
02/14/2020,MSFT200214C00127000,0,0,61.55,61.9,0,0.02,1,0.0004,0,127.000,MSFT200214P00127000,0.05,0,0,0.04,0,1.376,-0.0025,0.0003,2
02/14/2020,MSFT200214C00128000,0,0,60.55,60.9,0,0.02,1,0.0004,0,128.000,MSFT200214P00128000,0,0,0,0.04,0,1.3135,-0.002,0.0002,0
02/14/2020,MSFT200214C00129000,37.2,0,59.55,59.9,0,0.02,1,0.0004,2,129.000,MSFT200214P00129000,0.08,0,0,0.04,0,1.2808,-0.0019,0.0002,2
02/14/2020,MSFT200214C00130000,49.25,0,58.55,58.9,0,0.02,1,0.0006,25,130.000,MSFT200214P00130000,0.09,0,0,0.04,0,1.251,-0.0019,0.0002,22
02/14/2020,MSFT200214C00131000,0,0,57.55,57.9,0,0.02,1,0.0007,0,131.000,MSFT200214P00131000,0.09,0,0,0.02,0,1.1885,-0.0014,0.0002,1
02/14/2020,MSFT200214C00132000,52.05,0,56.55,57.35,0,0.02,0.9832,0.0013,2,132.000,MSFT200214P00132000,0.1,0,0,0.03,0,1.2146,-0.0021,0.0003,1
02/14/2020,MSFT200214C00133000,0,0,55.55,55.9,0,0.02,1,0.0006,0,133.000,MSFT200214P00133000,0,0,0,0.03,0,1.1885,-0.0021,0.0003,0
02/14/2020,MSFT200214C00134000,0,0,54.55,54.9,0,0.02,1,0.0006,0,134.000,MSFT200214P00134000,0,0,0,0.03,0,1.1798,-0.0024,0.0003,0
02/14/2020,MSFT200214C00135000,32.47,0,53.55,53.9,0,0.02,1,0.0006,269,135.000,MSFT200214P00135000,0.14,0,0,0.03,0,1.126,-0.0019,0.0003,801
02/14/2020,MSFT200214C00136000,0,0,51.9,52.95,0,0.02,1,0.0006,0,136.000,MSFT200214P00136000,0.04,0,0,0.03,0,1.126,-0.0023,0.0003,1
02/14/2020,MSFT200214C00137000,50.65,3.625,51.55,51.95,2,0.02,0.9988,0.0002,2,137.000,MSFT200214P00137000,0,0,0,0.03,0,1.0635,-0.0017,0.0003,0
02/14/2020,MSFT200214C00138000,46.32,0,50.55,50.9,0,0.02,1,0.0024,4,138.000,MSFT200214P00138000,0.14,0,0,0.03,0,1.0094,-0.0013,0.0002,3
02/14/2020,MSFT200214C00139000,28.7,0,49.55,49.95,0,0.02,0.9985,0.0002,1,139.000,MSFT200214P00139000,0.01,-0.005,0,0.01,10,0.9685,-0.0011,0.0002,20
02/14/2020,MSFT200214C00140000,30.42,0,48.55,48.95,0,0.02,0.9986,0.0002,112,140.000,MSFT200214P00140000,0.02,0,0,0.03,0,1.0113,-0.0021,0.0003,40
02/14/2020,MSFT200214C00141000,27.6,0,47.55,48,0,0.02,0.9952,0.0006,1,141.000,MSFT200214P00141000,0.02,0,0,0.05,0,1.001,-0.0024,0.0004,40
02/14/2020,MSFT200214C00142000,41.1,0,46.55,47,0,0.02,0.9952,0.0007,5,142.000,MSFT200214P00142000,0.05,0,0,0.01,0,0.8475,-0.0006,0.0001,49
02/14/2020,MSFT200214C00143000,0,0,45.55,46,0,0.02,0.9954,0.0007,0,143.000,MSFT200214P00143000,0.01,0,0,0.04,0,0.9587,-0.0025,0.0004,226
02/14/2020,MSFT200214C00144000,42.7,2.65,44.55,45,9,0.02,0.9949,0.0007,5,144.000,MSFT200214P00144000,0.04,0,0,0.05,0,0.9416,-0.0027,0.0004,18
02/14/2020,MSFT200214C00145000,42.25,3.175,43.55,44,1,0.02,0.995,0.0007,35,145.000,MSFT200214P00145000,0.02,0,0,0.03,0,0.9054,-0.0024,0.0004,168
02/14/2020,MSFT200214C00146000,37.2,0,42.55,43.35,0,0.02,0.9784,0.0021,4,146.000,MSFT200214P00146000,0.04,0,0,0.04,0,0.8933,-0.0027,0.0005,760
02/14/2020,MSFT200214C00147000,41.25,4.175,41.55,42,23,0.02,0.9946,0.0008,299,147.000,MSFT200214P00147000,0.01,0,0,0.04,0,0.8716,-0.0028,0.0005,1463
02/14/2020,MSFT200214C00148000,37.6,1.45,40.55,41.35,5,0.02,0.9775,0.0023,21,148.000,MSFT200214P00148000,0.05,0,0,0.01,0,0.7456,-0.0008,0.0002,2148
02/14/2020,MSFT200214C00149000,39.16,4.035,38.9,39.95,3,0.02,1,0.001,9,149.000,MSFT200214P00149000,0.02,0.005,0,0.04,3,0.8207,-0.0027,0.0005,88
02/14/2020,MSFT200214C00150000,37.67,3.545,38.55,38.95,6,0.02,0.9986,0.0003,262,150.000,MSFT200214P00150000,0.02,-0.005,0,0.03,243,0.7413,-0.0014,0.0003,834
02/14/2020,MSFT200214C00152500,32.7,0,36.05,36.45,0,0.02,0.9986,0.0003,123,152.500,MSFT200214P00152500,0.01,-0.015,0,0.03,30,0.7249,-0.0023,0.0005,991
02/14/2020,MSFT200214C00155000,33.07,3.995,33.55,33.9,12,0.02,1,0.0011,183,155.000,MSFT200214P00155000,0.01,-0.025,0,0.01,1278,0.6036,-0.0009,0.0002,1843
02/14/2020,MSFT200214C00157500,29.65,3.075,31.05,31.4,31,0.02,1,0.0019,363,157.500,MSFT200214P00157500,0.01,-0.04,0.01,0.02,237,0.6465,-0.0035,0.0008,937
02/14/2020,MSFT200214C00160000,27.7,3.6,28.55,29.4,50,0.02,0.9673,0.0042,809,160.000,MSFT200214P00160000,0.02,-0.035,0.01,0.02,206,0.5944,-0.0037,0.0009,1404
02/14/2020,MSFT200214C00162500,25.65,3.975,26.05,26.55,33,0.02,0.9878,0.0025,1177,162.500,MSFT200214P00162500,0.02,-0.06,0.01,0.03,126,0.5627,-0.0052,0.0013,2082
02/14/2020,MSFT200214C00165000,23,3.875,23.6,24.25,30,0.02,0.9682,0.0051,2023,165.000,MSFT200214P00165000,0.03,-0.05,0.02,0.05,131,0.5309,-0.0074,0.0019,1245
