QCOM (QUALCOMM, Inc.),88.57,0.38
Feb 11 2020 @ 08:33 ET,Bid,88.8,Ask,89,Size,1x3,Vol,7481257
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/14/2020,QCOM200214C00074000,14,0.225,14.25,14.95,4,0.02,1,0,2,74.000,QCOM200214P00074000,0.01,-0.01,0,0.03,1,0.6975,-0.0063,0.0027,16
02/14/2020,QCOM200214C00075000,13.3,0,13.25,13.85,0,0.02,1,0.0066,50,75.000,QCOM200214P00075000,0.02,-0.005,0,0.03,4,0.6503,-0.0067,0.0031,157
02/14/2020,QCOM200214C00076000,0,0,12.2,12.9,0,0.02,1,0.0056,0,76.000,QCOM200214P00076000,0.01,-0.02,0,0.03,6,0.6036,-0.0071,0.0035,116
02/14/2020,QCOM200214C00077000,0,0,11.4,11.85,0,0.02,0.9866,0.006,0,77.000,QCOM200214P00077000,0.02,-0.01,0,0.04,11,0.5861,-0.0105,0.0051,20
02/14/2020,QCOM200214C00078000,0,0,10.2,11,0,0.02,1,0,0,78.000,QCOM200214P00078000,0.02,-0.015,0.02,0.04,7,0.5654,-0.0148,0.0071,302
02/14/2020,QCOM200214C00079000,11.97,0,9.4,9.85,0,0.02,0.9857,0.0077,1,79.000,QCOM200214P00079000,0.03,-0.015,0.03,0.05,17,0.5275,-0.018,0.009,159
02/14/2020,QCOM200214C00080000,7.75,0,8.55,8.8,0,0.02,0.9636,0.0156,22,80.000,QCOM200214P00080000,0.05,-0.005,0.03,0.06,377,0.5032,-0.0252,0.0126,687
02/14/2020,QCOM200214C00081000,7.4,0.55,7.55,7.8,12,0.02,0.9601,0.0187,7,81.000,QCOM200214P00081000,0.07,-0.025,0.05,0.07,72,0.465,-0.0317,0.0165,392
02/14/2020,QCOM200214C00082000,5.61,-0.24,6.55,6.8,4,0.02,0.9565,0.0227,38,82.000,QCOM200214P00082000,0.07,-0.075,0.07,0.09,185,0.4489,-0.048,0.0239,484
02/14/2020,QCOM200214C00083000,5.14,0.14,5.6,5.8,37,0.02,0.94,0.0316,36,83.000,QCOM200214P00083000,0.13,-0.085,0.1,0.12,327,0.4188,-0.0661,0.0329,851
02/14/2020,QCOM200214C00084000,3.87,-0.23,4.7,4.9,255,0.02,0.8943,0.0475,311,84.000,QCOM200214P00084000,0.19,-0.145,0.15,0.17,479,0.3988,-0.098,0.0466,944
02/14/2020,QCOM200214C00085000,3.1,-0.175,3.75,3.95,283,0.02,1,0.0642,472,85.000,QCOM200214P00085000,0.29,-0.225,0.25,0.27,729,0.3876,-0.1495,0.0645,1126
02/14/2020,QCOM200214C00086000,2.65,0.105,3,3.1,663,0.2593,0.8658,0.0896,448,86.000,QCOM200214P00086000,0.49,-0.29,0.4,0.43,165,0.3796,-0.2217,0.0841,515
02/14/2020,QCOM200214C00087000,2.15,0.245,2.24,2.33,454,0.2875,0.7318,0.1231,930,87.000,QCOM200214P00087000,0.76,-0.375,0.65,0.69,1685,0.3794,-0.3167,0.1008,1858
02/14/2020,QCOM200214C00088000,1.63,0.25,1.61,1.66,959,0.3039,0.5905,0.1374,1090,88.000,QCOM200214P00088000,1.05,-0.555,1.01,1.05,158,0.3836,-0.4251,0.1097,694
02/14/2020,QCOM200214C00089000,1.13,0.175,1.12,1.16,2280,0.3168,0.4528,0.1343,1476,89.000,QCOM200214P00089000,1.54,-0.66,1.48,1.56,38,0.3935,-0.5351,0.1085,673
02/14/2020,QCOM200214C00090000,0.77,0.11,0.74,0.77,3240,0.3272,0.3305,0.119,3281,90.000,QCOM200214P00090000,2.15,-0.745,2.1,2.19,15,0.4097,-0.634,0.0986,1231
02/14/2020,QCOM200214C00091000,0.5,0.06,0.48,0.51,1087,0.3393,0.2322,0.0966,1853,91.000,QCOM200214P00091000,3.09,-0.585,2.84,2.93,20,0.4323,-0.7141,0.0845,339
02/14/2020,QCOM200214C00092000,0.32,0.025,0.3,0.32,1002,0.3503,0.1576,0.0739,1727,92.000,QCOM200214P00092000,3.9,-0.625,3.65,3.8,4,0.4707,-0.7693,0.0694,238
