"Date" "yyyymmdd" "AAPL" "MSFT" "GOOG" "CSCO" "ORCL" "INTC" "QCOM" "AMGN" "TEVA" "GILD"
2018-01-02 20180102 166.804016 83.256378 1065 36.40987 44.922642 44.369122 60.48315 165.696518 19.110001 69.162361
2018-01-03 20180103 166.774963 83.643845 1082.47998 36.700317 45.963093 42.863327 61.169628 168.823212 19.129999 69.685059
2018-01-04 20180104 167.549622 84.380028 1086.400024 36.804157 46.415886 42.077274 61.253109 168.111786 19.58 68.975693
2018-01-05 20180105 169.457214 85.426178 1102.22998 37.313881 46.695274 42.370857 61.661282 169.113419 19.219999 69.55439
2018-01-08 20180108 168.82782 85.513359 1106.939941 37.700897 47.186596 42.370857 61.475746 169.06665 19.120001 69.442383
2018-01-09 20180109 168.808456 85.455238 1106.26001 37.464912 47.447723 41.310165 60.548084 171.669083 19.370001 72.895836
2018-01-10 20180110 168.769714 85.06778 1102.609985 37.672581 47.196262 40.249477 60.538815 171.182297 20.040001 73.465202
2018-01-11 20180111 169.728378 85.319633 1105.52002 37.851929 47.341335 41.111282 60.696518 170.339783 21.74 73.791855
2018-01-12 20180112 171.481064 86.791992 1122.26001 38.578754 47.882931 40.950287 60.650131 173.223099 22.07 73.754532
2018-01-16 20180116 170.609558 85.581161 1121.76001 38.267265 47.960304 40.855587 63.312504 173.691147 21.41 74.902557
2018-01-17 20180117 173.427399 87.315063 1131.97998 38.890263 48.61795 42.039394 63.099144 176.003403 21.48 76.293282
2018-01-18 20180118 173.582321 87.276321 1129.790039 38.984653 48.579269 42.12463 63.126972 175.610229 20.709999 75.761269
2018-01-19 20180119 172.807663 87.179459 1137.51001 38.975216 48.917767 42.446625 63.11771 177.192307 20.700001 75.583923
2018-01-22 20180122 171.393921 88.739006 1155.810059 39.324471 49.043491 43.327385 63.702114 180.047531 21.02 75.985275
2018-01-23 20180123 171.432632 89.01992 1169.969971 39.739807 49.440018 43.62096 63.395996 179.729233 20.950001 75.555923
2018-01-24 20180124 168.70195 88.942421 1164.23999 39.805882 49.759174 43.100079 63.062038 178.4561 20.57 75.882599
2018-01-25 20180125 165.690445 89.436432 1170.369995 39.551018 49.904243 42.901211 62.542545 177.941238 21.16 75.77993
2018-01-26 20180126 166.077759 91.112213 1175.839966 40.174019 51.016453 47.428093 63.572254 183.492508 21.33 79.765404
2018-01-29 20180129 162.640213 90.976601 1175.579956 40.447762 50.233067 47.333385 62.449783 185.355438 21.610001 82.882851
2018-01-30 20180130 161.68158 89.833588 1163.689941 39.881393 49.285278 46.206394 62.143661 179.055222 20.65 81.473457
